Sponsor,Program,Session ID,Description,Date,CME Detail #1 - Focus,CME Detail #1 - Credit Type,CME Detail #1 - Earned,CME Detail #2 - Focus,CME Detail #2 - Credit Type,CME Detail #2 - Earned,CME Total - Credit Type,CME Total - Earned
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: DCF and Calculation Modules","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",0.5
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: AAA, Acuros XB Beam Data Requirements","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",0.75
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: Beam Configuration Overview","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",0.5
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: PBC Configuration","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",0.5
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: Template Administration","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",1.5
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: OSP System Set up","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",0.75
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: Configuration Practice Time","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",2
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: Course Introduction","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",1
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: Planning Practice","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",3.25
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: AAA Model Configuration","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",1
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: Beam Config Analysis","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",0.5
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: Electron Monte CarloGGPB Configuration","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",1.25
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: ImportExport Filter Configuration","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",1.25
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: Varian External Beam Machine ConfigurationCT Scanner Creation","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",2.75
"Varian Medical Systems","EC201: Eclipse Commissioning I: Administration and Algorithms",""," EC201: Eclipse Commissioning I: Administration and Algorithms: Eclipse Set UpUser CreationRights Assignment","2018-04-02","Radiotherapy",,"","External Beam",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Imaging Administration","2017-10-16","Radiotherapy",,"","Image-guided",,"","MPCEC",0.5
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Optical Camera Calibration","2017-10-16","Radiotherapy",,"","Image-guided",,"","MPCEC",0.25
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Service Mode Plan Delivery Examples","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",1.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: IGRT with Gating and Advanced Reconstructor","2017-10-16","Radiotherapy",,"","Image-guided",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Oncology System Platform Overview","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",0.5
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: System Components, Deployment and Control System Overview contd","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",1.25
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Machine Performance Check","2017-10-16","Radiotherapy",,"","Quality Management",,"","MPCEC",1.25
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: 2D IGRT Examples","2017-10-16","Radiotherapy",,"","Image-guided",,"","MPCEC",1
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Creation of OSP User","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",0.25
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Delivery Examples IMRT and RapidArc","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: PVA Calibration Wizard Overview","2017-10-16","Radiotherapy",,"","Quality Management",,"","MPCEC",0.5
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: 2D Imaging System Calibration","2017-10-16","Radiotherapy",,"","Image-guided",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: TreatmentImaging Application GUI Overview","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: 3D IGRT Examples","2017-10-16","Radiotherapy",,"","Image-guided",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Machine QA","2017-10-16","Radiotherapy",,"","Quality Management",,"","MPCEC",1
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Software Overview","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",1
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Course Introduction","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",0.5
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: System Components, Deployment and Control System Overview","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",1
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: High Intensity Beams Overview","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",1
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Service Mode Overview","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",1.25
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: CBCT Calibrations","2017-10-16","Radiotherapy",,"","Image-guided",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Power Procedures Start up, Shut Down, Emergency Procedure","2017-10-16","Radiotherapy",,"","Quality Management",,"","MPCEC",1
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Plan QA ProcedureDry Run","2017-10-16","Radiotherapy",,"","Quality Management",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Custom Coding and Electron Delivery","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",1
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: CalibrationDeliveryImaging Practice","2017-10-16","Radiotherapy",,"","Quality Management",,"","MPCEC",2
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Absolute Dose Calibration","2017-10-16","Radiotherapy",,"","Dosimetry",,"","MPCEC",1
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: TrueBeam Documentation and Resources","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",0.5
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Beam Production and Shaping Components Overview","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: System Administration","2017-10-16","Radiotherapy",,"","External Beam",,"","MPCEC",1.25
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Imaging Calibration Overview","2017-10-16","Radiotherapy",,"","Image-guided",,"","MPCEC",0.75
"Varian Medical Systems","TB201: TrueBeam Platform for Physicists",""," TB201: TrueBeam Platform for Physicists: Isocenter Calibration and Verification","2017-10-16","Radiotherapy",,"","Image-guided",,"","MPCEC",0.75
"AAPM-New Jersey Chapter","Proton Radiation Therapy Symposium",""," Proton Radiation Therapy Symposium: Introduction to proton therapy","2016-11-02","Radiotherapy",,"","Proton Therapy",,"","MPCEC",1
